ID,Title,Category,Keywords,Symptoms,Solution,Escalation
KB-01,VPN disconnects repeatedly,Network,"vpn, disconnect, dropping, drops, tunnel, remote access, anyconnect, globalprotect, reconnect","VPN client connects but drops every few minutes, or fails to reconnect after sleep/wake.","1. Switch the VPN protocol from UDP to TCP in client settings. 2. Disable IPv6 on the active network adapter. 3. Update the VPN client to the current approved build. 4. If on Wi-Fi, test on a wired connection to rule out signal drop.","If drops persist on a wired connection, escalate to Network Engineering with the client log bundle."
KB-02,Account locked after failed login attempts,Access,"locked, lockout, password, reset, login, sign in, attempts, credentials, locked out, forgot","User cannot sign in; account shows locked after repeated failed password attempts.","1. Verify identity per the caller-verification standard before any reset. 2. Unlock the account in Active Directory. 3. Issue a self-service reset link rather than setting a password verbally. 4. Confirm MFA device is still enrolled and reachable.","Escalate to Security if the lockout came from an unrecognised location or repeated within 24 hours."
KB-03,Shared drive read-only or inaccessible,Storage,"shared drive, network drive, read-only, read only, file share, smb, mapped drive, permissions, cannot save, nas","Mapped drive becomes read-only mid-session, or files cannot be saved to a shared folder.","1. Confirm whether the share is read-only for one user or all users. 2. Re-map the drive and reauthenticate. 3. Check the share's free space — a full volume presents as read-only. 4. Verify the user's group membership has not changed.","If all users are affected, escalate to Infrastructure immediately as a service-impacting incident."
KB-04,Printer offline or not responding,Hardware,"printer, print, printing, offline, queue, spooler, toner, paper, jam, cartridge","Print jobs queue but never print, or the printer shows offline in the device list.","1. Restart the Print Spooler service on the user's machine. 2. Clear the stuck print queue. 3. Power-cycle the printer and confirm it holds its network address. 4. Reinstall the printer using the current driver package.","Escalate to Facilities for physical faults such as jams, hardware errors or consumable replacement."
KB-05,Email not sending or receiving,Software,"email, outlook, mail, inbox, not receiving, not sending, stuck, outbox, sync, mailbox full","Messages sit in the outbox, or new mail stops arriving in the client while webmail works.","1. Confirm whether webmail works — this isolates client from server. 2. Check mailbox quota; a full mailbox blocks send and receive. 3. Rebuild the local mail profile. 4. Clear the credential cache and re-authenticate.","Escalate to Messaging if webmail is also failing, which indicates a server-side issue."
KB-06,Laptop slow or freezing,Hardware,"slow, freezing, frozen, freeze, hanging, hang, laptop, machine, performance, lag, sluggish, unresponsive, cpu, memory, crash, restart, reboot","Machine becomes unresponsive, applications hang, or performance degrades through the day.","1. Check CPU, memory and disk usage in Task Manager to identify the consumer. 2. Confirm free disk space is above 15%. 3. Check for a pending OS update or an in-progress endpoint scan. 4. Reboot if uptime exceeds seven days.","Escalate to Endpoint Engineering if hardware diagnostics report disk or memory errors."
KB-07,Payment or transaction system errors,Business Systems,"payment, gateway, transaction, checkout, 500, declined, failing, orders, billing, processor, outage","Payment or order processing returns errors, or transactions fail across multiple users.","1. Confirm blast radius — one user, one payment method, or all transactions. 2. Check the payment processor's status page for a live incident. 3. Capture exact error codes and a sample transaction ID. 4. Notify Finance so failed orders can be reconciled.","Revenue-impacting. Escalate to the on-call Application Support lead immediately and open a major incident."
KB-08,Software access or licence request,Access,"access, licence, license, permission, request, install, software, application, denied, entitlement, approved, approval, manager, provision, onboarding, new starter, grant, add me","User needs access to an application, or receives a licence or permission-denied error.","1. Confirm the request has manager approval on record. 2. Check licence availability in the asset register before provisioning. 3. Assign entitlement through the standard access group, not directly to the user. 4. Record the approval reference against the ticket.","Escalate to Software Asset Management if no licences remain in the pool."
KB-09,Wi-Fi not connecting,Network,"wifi, wi-fi, wireless, connect, network, signal, ssid, authentication failed, no internet, dropping","Device cannot join the corporate wireless network, or connects with no internet access.","1. Forget the network and rejoin to force re-authentication. 2. Confirm the device certificate is present and unexpired. 3. Test a different SSID or location to isolate access-point issues. 4. Renew the DHCP lease.","Escalate to Network Engineering if multiple users in the same area are affected."
KB-10,Multi-factor authentication not working,Access,"mfa, 2fa, multi-factor, authenticator, token, code, push, verification, new phone, duo, okta","Authentication prompt does not arrive, codes are rejected, or the user has replaced their device.","1. Verify identity out-of-band before any MFA change — this is the highest-risk reset in the catalogue. 2. Confirm device time sync; drift invalidates time-based codes. 3. Re-enrol the authenticator app on the new device. 4. Issue temporary bypass codes only with manager approval, time-limited.","Escalate to Security for any suspected account takeover or unexpected enrolment request."
